Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Mar-10,0,0,0,0,0,4,3,1,12,12,0,34,10,24,65,18,39,8,0,0,0,15,5,10,0,0,0,2,0,2,132,87,59,28,17,186,0,0,0,0,0,186,167,21,146,5,2,3,0,462,594,98,9,45,35,7,2,14,8,6,14,126,9,2,0,0,2,69,56,12,1,80
Apr-10,0,0,0,0,0,9,7,2,5,5,0,24,6,18,35,9,21,5,2,0,2,13,10,3,0,0,0,0,0,0,88,82,53,29,26,161,0,0,0,0,0,161,136,18,118,7,1,6,0,412,500,48,4,25,17,2,0,7,1,6,1,56,10,12,0,0,12,12,3,6,3,34
May-10,0,0,0,0,0,4,4,0,1,0,1,28,12,16,69,18,47,4,3,3,0,7,5,2,2,0,2,3,1,2,117,110,78,32,19,190,0,0,0,0,0,190,134,11,123,5,0,5,0,458,575,47,10,20,13,4,0,9,3,6,12,68,4,291,0,0,291,31,18,4,9,326
Jun-10,0,0,0,0,0,48,10,38,8,8,0,25,10,15,53,12,34,7,15,8,7,14,9,5,0,0,0,4,1,3,167,63,48,15,27,172,0,0,0,0,1,171,127,8,119,4,0,4,0,393,560,73,8,28,30,6,1,6,3,3,5,84,22,1,0,0,1,16,13,1,2,39
Jul-10,0,0,0,0,0,7,6,1,8,8,0,25,11,14,40,5,29,6,2,1,1,9,6,3,1,0,1,4,2,2,96,75,62,13,11,163,0,0,0,0,1,162,115,6,109,3,0,3,0,367,463,47,5,26,14,1,1,4,3,1,5,56,4,1,0,0,1,11,5,3,3,16
Aug-10,0,0,0,0,0,8,5,3,0,0,0,27,7,20,43,13,26,4,7,3,4,7,4,3,0,0,0,2,0,2,94,67,43,24,8,157,0,0,0,0,2,155,114,6,108,2,0,2,0,348,442,78,14,27,29,7,1,15,13,2,3,96,8,7,0,0,7,20,8,7,5,35
Sep-10,0,0,0,0,0,3,1,2,3,3,0,28,9,19,47,14,26,7,1,0,1,18,9,9,1,1,0,1,0,1,102,97,71,26,18,179,0,0,0,0,5,174,121,13,108,5,1,4,0,420,522,62,5,26,26,3,2,16,14,2,10,88,3,3,1,0,2,23,14,6,3,29
Oct-10,0,0,0,0,0,2,2,0,8,7,1,34,10,24,43,13,22,8,2,1,1,5,4,1,2,0,2,3,0,3,99,109,78,31,32,157,0,0,0,0,1,156,144,13,131,0,0,0,0,442,541,103,14,50,30,6,3,10,8,2,12,125,17,3,2,0,1,27,7,14,6,47
Nov-10,0,0,0,0,0,7,3,4,3,3,0,33,18,15,45,12,31,2,6,0,6,10,4,6,0,0,0,0,0,0,104,88,67,21,21,182,0,0,0,0,0,182,133,10,123,5,0,5,0,429,533,49,4,31,12,2,0,10,4,6,4,63,7,84,0,0,84,26,5,11,10,117
Dec-10,1,1,0,0,0,10,10,0,1,1,0,44,17,27,43,14,24,5,6,2,4,11,5,6,1,0,1,4,0,4,121,79,55,24,24,189,0,0,0,0,0,189,144,14,130,4,0,4,0,440,561,70,7,42,15,5,1,7,4,3,5,82,1,2,1,0,1,20,5,7,8,23
