Region,Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Fremantle,Jul-09,0,0,0,0,0,13,8,5,13,13,0,38,16,22,77,30,40,7,2,2,0,10,7,3,3,0,3,11,2,9,167,278,204,74,67,612,0,0,0,0,4,608,368,15,353,8,0,8,0,1333,1500,131,10,65,44,11,1,22,18,4,15,168,53,27,1,0,26,23,13,8,2,103
Fremantle,Aug-09,0,0,0,0,0,9,8,1,10,10,0,54,13,41,86,31,48,7,8,6,2,6,3,3,1,0,1,13,1,12,187,271,197,74,79,625,0,0,0,0,3,622,334,29,305,7,0,7,0,1316,1503,150,10,84,49,6,1,44,17,27,15,209,32,21,0,0,21,38,28,7,3,91
Fremantle,Sep-09,0,0,0,0,0,9,6,3,5,5,0,35,10,25,77,33,37,7,5,4,1,13,7,6,1,0,1,9,2,7,154,237,187,50,45,675,0,0,0,0,5,670,343,35,308,11,0,11,0,1311,1465,132,10,81,35,6,0,27,11,16,17,176,197,69,22,0,47,32,22,6,4,298
Fremantle,Oct-09,0,0,0,0,0,5,3,2,17,17,0,34,9,25,98,39,52,7,6,4,2,9,8,1,2,1,1,6,2,4,177,326,242,84,56,686,0,0,0,0,4,682,368,27,341,6,1,5,0,1442,1619,128,14,64,43,7,0,13,11,2,6,147,61,71,0,0,71,34,18,12,4,166
Fremantle,Nov-09,0,0,0,0,0,9,6,3,4,4,0,46,10,36,94,35,56,3,5,5,0,21,13,8,2,1,1,14,1,13,195,272,223,49,42,559,0,0,0,0,0,559,330,24,306,4,0,4,0,1207,1402,122,7,68,36,11,0,11,9,2,17,150,62,35,1,0,34,45,34,6,5,142
Fremantle,Dec-09,0,0,0,0,0,11,10,1,6,6,0,40,11,29,114,45,66,3,6,5,1,19,12,7,0,0,0,15,1,14,211,294,217,77,44,748,0,0,0,0,5,743,317,21,296,6,1,5,0,1409,1620,122,17,67,34,4,0,17,14,3,21,160,35,53,1,0,52,46,29,7,10,134
Fremantle,Jan-10,1,1,0,0,0,12,10,2,7,7,0,45,10,35,102,32,58,12,8,7,1,17,12,5,1,0,1,18,2,16,211,326,219,107,82,703,0,0,0,0,0,703,352,31,321,6,0,6,0,1469,1680,65,2,33,24,6,0,17,7,10,12,94,65,77,0,0,77,35,24,5,6,177
Fremantle,Feb-10,1,1,0,0,0,10,5,5,15,15,0,40,17,23,83,29,51,3,7,7,0,14,12,2,2,0,2,13,0,13,185,231,146,85,55,633,0,0,0,0,3,630,289,14,275,6,1,5,0,1214,1399,78,6,39,25,8,0,11,8,3,7,96,40,19,0,0,19,66,37,25,4,125
Fremantle,Mar-10,0,0,0,0,0,43,33,10,14,13,1,53,10,43,110,37,69,4,12,10,2,14,9,5,1,0,1,12,0,12,259,283,180,103,72,755,0,0,0,0,2,753,314,32,282,8,2,6,0,1432,1691,118,9,73,30,6,0,14,7,7,18,150,48,35,0,0,35,34,25,6,3,117
Fremantle,Apr-10,1,1,0,0,0,12,7,5,38,38,0,39,10,29,106,21,81,4,6,5,1,15,10,5,1,0,1,20,6,14,238,262,183,79,80,630,0,0,0,0,8,622,306,36,270,10,1,9,0,1288,1526,112,10,65,30,6,1,28,15,13,8,148,45,51,0,0,51,33,23,3,7,129
Fremantle,May-10,1,1,0,0,0,20,7,13,6,5,1,38,9,29,91,27,61,3,9,9,0,9,5,4,3,0,3,12,3,9,189,285,215,70,70,656,0,0,0,0,3,653,278,20,258,7,0,7,0,1296,1485,123,14,56,48,5,0,26,19,7,17,166,55,50,1,0,49,24,14,8,2,129
Fremantle,Jun-10,0,0,0,0,0,9,6,3,3,3,0,30,9,21,78,26,49,3,3,2,1,20,10,10,1,0,1,14,1,13,158,228,167,61,57,573,0,0,0,0,2,571,238,26,212,1,0,1,0,1097,1255,108,9,66,27,5,1,23,13,10,17,148,43,49,0,0,49,27,17,8,2,119
Fremantle,Jul-10,1,0,0,0,1,9,6,3,3,3,0,42,4,38,52,20,27,5,3,3,0,9,5,4,2,0,2,9,0,9,130,259,209,50,62,499,0,0,0,0,2,497,283,27,256,3,0,3,0,1106,1236,123,21,57,38,7,0,16,11,5,15,154,33,96,0,0,96,36,28,5,3,165
Fremantle,Aug-10,2,0,0,0,2,19,11,8,4,2,2,37,8,29,92,27,60,5,3,3,0,21,14,7,1,0,1,19,4,15,198,268,195,73,56,591,0,0,0,0,1,590,266,29,237,3,0,3,0,1184,1382,61,1,36,22,2,0,12,8,4,16,89,46,72,1,0,71,37,23,6,8,155
Fremantle,Sep-10,0,0,0,0,0,17,9,8,2,1,1,45,10,35,74,29,43,2,10,8,2,14,6,8,5,2,3,13,2,11,180,281,212,69,59,659,0,0,0,0,4,655,317,27,290,8,0,8,0,1324,1504,98,3,58,32,4,1,17,13,4,15,130,56,50,1,0,49,39,29,9,1,145
Fremantle,Oct-10,0,0,0,0,0,20,15,5,2,2,0,48,13,35,121,51,60,10,2,2,0,21,13,8,2,1,1,12,0,12,228,300,224,76,56,634,0,0,0,0,2,632,325,37,288,7,0,7,0,1322,1550,99,3,57,35,4,0,12,9,3,12,123,67,54,0,0,54,74,64,7,3,195
Fremantle,Nov-10,0,0,0,0,0,19,15,4,4,4,0,53,6,47,85,25,54,6,5,3,2,18,12,6,0,0,0,18,1,17,202,341,262,79,41,656,0,0,0,0,4,652,266,33,233,16,0,16,0,1320,1522,122,4,75,36,6,1,22,21,1,12,156,74,30,1,0,29,73,63,5,5,177
Fremantle,Dec-10,0,0,0,0,0,14,6,8,3,3,0,70,8,62,90,30,57,3,9,8,1,18,11,7,1,0,1,15,3,12,220,252,189,63,46,613,0,0,0,0,4,609,299,44,255,10,2,8,0,1220,1440,94,5,55,27,6,1,5,3,2,9,108,48,139,1,0,138,43,21,14,8,230
Fremantle,Jan-11,0,0,0,0,0,13,8,5,11,11,0,65,11,54,85,28,50,7,12,11,1,15,5,10,0,0,0,11,0,11,212,326,263,63,80,723,0,0,0,0,4,719,336,32,304,12,1,11,0,1477,1689,68,5,40,20,3,0,14,12,2,12,94,77,164,2,0,162,37,16,10,11,278
Fremantle,Feb-11,0,0,0,0,0,30,9,21,6,6,0,56,7,49,93,27,62,4,5,5,0,19,5,14,1,0,1,12,3,9,222,376,268,108,57,725,0,0,0,0,5,720,264,25,239,22,14,8,0,1444,1666,90,7,44,30,8,1,14,11,3,8,112,45,49,4,0,45,47,32,9,6,141
