Region,Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Armadale,Feb-09,0,0,0,0,0,35,26,9,5,5,0,59,17,42,77,23,45,9,10,6,4,20,15,5,2,1,1,20,3,17,228,235,158,77,45,533,0,0,0,0,8,525,311,32,279,10,2,8,0,1134,1362,70,7,46,12,5,0,12,7,5,7,89,127,19,5,0,14,32,22,10,0,178
Armadale,Mar-09,1,1,0,0,0,29,19,10,3,3,0,56,10,46,93,45,42,6,6,5,1,17,16,1,3,0,3,21,0,21,229,252,172,80,41,459,0,0,0,0,0,459,375,35,340,18,4,14,0,1145,1374,94,4,60,23,7,0,10,5,5,15,119,142,11,0,0,11,35,28,5,2,188
Armadale,Apr-09,0,0,0,0,0,9,5,4,13,13,0,60,13,47,75,35,38,2,3,3,0,20,15,5,0,0,0,7,1,6,187,256,171,85,48,358,0,0,0,0,3,355,295,27,268,15,6,9,0,972,1159,78,7,44,20,7,0,13,13,0,15,106,172,31,0,0,31,71,60,4,7,274
Armadale,May-09,0,0,0,0,0,12,8,4,10,9,1,55,28,27,101,33,59,9,7,5,2,24,14,10,3,0,3,10,2,8,222,233,160,73,60,496,0,0,0,0,3,493,317,26,291,21,1,20,0,1127,1349,84,7,51,17,9,0,9,5,4,12,105,149,64,0,0,64,34,23,9,2,247
Armadale,Jun-09,0,0,0,0,0,19,9,10,9,9,0,59,13,46,77,24,45,8,7,5,2,19,15,4,1,0,1,10,1,9,201,228,158,70,58,443,0,0,0,0,2,441,295,36,259,4,0,4,0,1028,1229,214,34,109,53,16,2,21,19,2,28,263,155,10,0,0,10,33,22,6,5,198
Armadale,Jul-09,0,0,0,0,0,22,18,4,13,13,0,61,20,41,72,40,30,2,4,4,0,14,8,6,1,0,1,7,0,7,194,212,159,53,39,356,0,0,0,0,0,356,294,34,260,10,2,8,0,911,1105,146,14,82,42,8,0,17,14,3,22,185,123,123,1,0,122,56,39,13,4,302
Armadale,Aug-09,0,0,0,0,0,24,16,8,13,12,1,68,22,46,100,38,56,6,8,7,1,24,19,5,1,0,1,7,0,7,245,185,121,64,34,335,0,0,0,0,3,332,266,31,235,15,0,15,0,835,1080,121,13,61,28,19,0,15,9,6,11,147,143,18,0,0,18,55,44,3,8,216
Armadale,Sep-09,0,0,0,0,0,6,6,0,23,23,0,64,16,48,93,30,60,3,4,4,0,16,9,7,0,0,0,7,0,7,213,195,145,50,40,363,0,0,0,0,5,358,246,29,217,8,0,8,0,852,1065,93,14,52,12,15,0,12,11,1,12,117,97,10,1,0,9,36,16,8,12,143
Armadale,Oct-09,1,0,0,0,1,19,5,14,19,19,0,51,8,43,111,40,63,8,3,2,1,18,9,9,0,0,0,14,0,14,236,243,190,53,48,462,0,0,0,0,3,459,363,46,317,9,1,8,0,1125,1361,93,8,50,27,6,2,8,6,2,11,112,134,194,0,0,194,48,36,6,6,376
Armadale,Nov-09,0,0,0,0,0,16,12,4,6,6,0,72,25,47,111,47,60,4,4,4,0,32,20,12,0,0,0,14,2,12,255,232,188,44,38,358,0,0,0,0,7,351,299,19,280,13,1,12,0,940,1195,82,8,44,19,11,0,9,7,2,20,111,137,18,0,0,18,17,9,8,0,172
